index,REF string,HYP string,HYP string 2,WER(%),WER(%),
23,아니 여기서는 반응장갑 Mk2를 착용했어야지,아니 여기서는 반응장갑 mk ii 를 착용해 써야지,여전히 13강 드라마 무기가 무조건 나쁜 것은 아닙니다,14.2857,,여전히 13강 들어오기가 무조건 나쁜 것은 아닙니다
24,이 호마의 지팡이를 6강까지 강화하겠어요,이 호마의 지팡이 6강까지 강화하겠다,아마네네 쿠크세이튼에게 농락당하여 잠식당할 위기에 처해 있다,100,,아 많은 메이튼에게 농락당하여 대련에 이매점 식당을 위기에 처해 있다
25,그 파멸의 울부짖음 스크롤 얼마인지 알려줘 돈 되면 바로 살게,그 파멸의 울부짖음 스크롤 얼마인지 알려줘 돈 되면 바로 살게,핫팩은 악마의 힘을 받는 조건으로 비아키스에게 애니체 모두가들을 제물로 마치고 있었다,27.2727,,핫팩은 악마의 힘을 받는 조건으로 비아키스에게 애니츠의 우트가드를 제물로 받치고 있었다
26,,,안녕하세요 스텝이 연기면 10곳이 지맥에 나뭇가지 하나 빌려 가겠습니다,90,,안녕하세요 스텝이 연기면 탱고 씨 나 못 가잖아 빌려 가겠습니다
27,,,곽곽 보성이에게 이끌어 오면서 얼음 결정을 전달해 줄래,100,,곽부성 이에게 이끌어오던 결정을 전달해 줄래
28,,,전시되어 있는 제드아이 lapo 꽤 좋은 걸요 잘 보고 갑니다,45.4545,,전시되어 있는 제 2의 레이피어 왜 좋은 걸요 잘 보고 갑니다
29,,,아가사 의식할 말고 오리할콘 스파이크를 알겠어,66.6667,,아가씨 의식하지 말고 오리할콘 스파이크를 알겠어
30,,,유한욱 NC에게 우유 두 개와 빨간포션 다섯 개를 얻을 수 있겠니,66.6667,,요한 100nc에게 우유 두 개만 빨간 풍선 다섯 개를 어려울 수 있겠니
31,,,드락사르의 황혼검을 구입 할래,100,,드락사르 일본 건물 구입 할래
32,,,윈도우 브레이크를 참석할게,66.6667,,윈도우 브레이크를 시작할게
33,,,아니 여기서는 반응장갑 MK2를 체력이 있어야지,50,,아니 여기서는 반응장갑 스케이트를 타고게 있어야지
34,,,이홈 와이파이를 6단까지 강화 하겠어요,80,,이호 마이 지팡이를 6단까지 가능하겠어요
35,외눈박이 거인과 사파이어 드래곤을 제물로 바쳐 블랙 매지션을 소환하겠어,,외눈 박이 거인과 사파이어드래곤을 제물로 바쳐 블랙 메시지를 소원 하겠어,66.6667,,외눈 박이 거인 가서 파이어 드래곤을 제물로 바쳐 블랙 리스트를 수원 알겠어
36,카마존 랜드로 가는 포탈을 열어줘,,가마솥 랜드로 가는 포탈 열어 줘,100,,가마솥 랜드로바 노트를 열어 줘
37,마법 기사 트랜스가 어디 있는지 알려줄 수 있어,,마법기사 트랜스가 어디 있는지 알려 줄 수 있어,50,,마법기사 트랜스가 어디 있는지 알려 줄 수 있어
38,이번 주 카오스 게이트를 내가 했는지 알려줄 수 있어,,이번 주 카오스 게이트를 내가 했는지 알려 줄 수 있어,44.4444,,이번 주 카오스게이트를 내가 했는지 알려 줄 수 있어
39,,,그 카메라 울부짖음 스크롤 얼마인지 알려 줘 돈 되면 바로 살게,66.6667,,카메라 울고 지금 스크롤 얼마인지 알려 줘 바로 살게
40,60 코퍼로 살 수 있는 제일 비싼 게 뭐냐,,60% 살 수 있는 제일 비싼게 뭐냐,57.1429,,60% 살 수 있는 제일 비싼게 뭐냐
41,우리를 기억해 주시오 집행관 아둔이 그대를 보살피시길,,놀이를 기억해 주시고 집행관 아들이 그대를 보살피지 길,57.1429,,우리를 기억해 주시오 아들이 그대를 보답해 11
42,엔 타로 태사다르,,엔타로 테스트,100,,타로 테스트
43,테라코타의 수장 아이리스 포츈싱어 그게 그 여자의 이름이었다,,테라코타 헬스장 아이리스 포츈싱어 그게 그 여자 이름이 없다,50,,테라코타 해수장 아이비스포츠 싱어 그게 그 여자의 이름이었다
44,나 대마법사 메디브가 아제로스 제일의 파티에 그대를 초대하네,,나한테 먹었어 메디브가 아제로스 제일의 파티에 그대를 초대하다,90,,낮에 먹었어 내 기도가 아제로스 제일아파트 그대를 초대 안 해
45,우리는 신성한 칼라를 통해 모든 생각과 모든 감정을 함께 나누기 때문이다,,우리는 신성아 칼날을 통해 모든 생각과 모든 감정을 함께나누기 때문이다,40,,우리는 신성아 칼날을 통해 모든 생각과 모든 감정을 함께나누기 때문이다
46,하 나 타르탈리아는 매 순간 강해지고 있다고,,하 나 타르탈리아 매 순간 당구 치고 있다고,14.2857,,하 나 타르탈리아 매 순간 강해지고 있다고
47,정체는 알 수 없지만 예의와 규칙을 잘 알고 있고 왕생당에서 온갖 의식을 거행한다,,정체를 알 수 없지만 예의가 규칙을 잘 알고 있고 막 성당에서 온갖 의식을 거행한다,53.8462,,정체를 알 수 없지만 예의가 구직을 알고 있고 왕 성당에서 온 의식을 거행한다
48,샨트리에 도착하니 그곳엔 루실 레드메인이 기다리고 있었다,,셔틀의 도착하니 그 곳엔 루시 레드미니 기다리고 있었다,42.8571,,센틀리에 도착하니 그곳엔 루시 레드베리 기다리고 있었다
49,카르텔과 손잡은 강철 비늘 해적단을 격파해 열차를 재탈환하고 열차에 올라 안개도시 헤이즈에 당도한다,,카르텔과 손잡은 강철비늘 해적단을 과외 열차를 재판하고 열차에 올라 안개도시 페이지에 당도한다,54.5455,,카르텔과 손잡은 강철비늘 해적단을 격파의 열차를 제사라고 열차에 올라 안개도시의 당도한다
50,제임스 레이너 당신에겐 양심도 없습니까,,제임스레이너 당신에겐 양심도 없습니까,50,,제임스레이너 당신에겐 양심도 없습니까
51,내 고향 빌지워터 비릿한 씁쓸함이 가득한 곳,,내 고향 돼지 버터 비릿한 씁쓸함이 가득한 곳,50,,고양 빌지워터 비릿한 씁쓸한 가득한 곳
52,빌지워터여 왕이 귀환했다,,빌지워터요 왕이기 안 했다,100,,빌지워터 역 왕이기 안 했다
53,그레이브즈 이미 죽은 목숨인 주제에 말이 많군,,그레이브즈 이미 죽은 목숨 이제 말이 박훈,100,,그레이브즈 이미 죽은 목숨이다
54,데마시아의 힘을 보여주리라,,대마씨 힘을 보여 주라,50,,데마시아의 힘을 보여 주기
55,녹서스의 마수를 뻗치시겠다 그 손목을 잘라주지,,녹서스의 나 슬퍼 치겠다 그 손목을 잘라주지,42.8571,,녹서스의 마술 뻗치게 따 그 손목을 잘라주지
56,다리우스 너 따위는 한 주먹도 안 돼,,다리우스 너 따위는 한주먹 또 안 돼,80,,다리우스 한주먹 또 안 돼
57,루시안 검은 안개와 싸웠었지 자 네 실력을 보여줘,,루시안 커버 남기 서치 자네 실력을 보여 줘,100,,루시안 검은안개 서치 4리 실력을 보여 줘
58,리븐 부서진 검으로는 날 이길 수 없어,,리븐 부서진건물 오는 날 이길 수 없어,28.5714,,이쁜 사진 검으로는 날 이길 수 없어
59,베인 네 속에 화가 많아 보이네 누가 널 아프게 했을까,,개인 비서게 화가 많아 보이네 누가 널 아프게 있을까,44.4444,,개인네 소개 화가 많아 보이네 누가 널 아프게 있을까
60,비에고 그분은 널 잊지 않았어 난 널 용서하지 않았고,,디에고 그분의 널 잊지 않았어 난 널 용서하지 않았고,11.1111,,디에고 그분은 널 잊지 않았어 난 널 용서하지 않았고
61,"세나 너도 안개가 있구나 선한 영혼, 악한 영혼이 모두 있네 신기하다",,세나 너도 안가 있구나 천안 영혼 악한 영원히 모두 있네 신기하다,100,,되나 너도 아는 데가 있구나 선한 영혼 악한 영혼이 모드인데 신기하다
62,슈리마인이잖아 사막은 어때 이따가 내가 이기고 나서 말해줘,,슈리마 일이잖아 사막은 어때 이따가 내가 이기고 나서 말해 줘,40,,슈리마 일이잖아 사막은 어때 이따가 내가 이기고 나서 말해 줘
63,야스오 옷이 그게 뭐니,,eso 50 그게 뭐니,25,,야스오 씨 그게 뭐니
64,요릭 무서워 보이지만 무섭지는 않네 적어도 나한텐 말이야,,요릭 무서워 보이지만 무섭지는 않네요 적어도 나한테 말이야,60,,유리 무서워 보이지만 무섭지는 안 돼 자꾸 너한테 한 말이야
65,이렐리아 칼날 멋진데 내 가위로 시험해봐도 돼,,이렐리아 칼날을 멋진데 내가 2로 시험 해 봐도 돼,62.5,,일리야 칼날 멋진데 내가 2로 시험에 봐도 돼
66,렝가 안 돼 니달리처럼 착하고 얌전하게 굴어,,렝가 안 돼 이달 이처럼 착하고 얌전하게 풀어,42.8571,,렝가 안 돼네 다리처럼 착하고 얌전하게 틀어
67,니달리 여기서 보니까 이상하다 니코 너 그리웠어,,니달리 여기서 보니까 이상하다 리코너 그리웠어,37.5,,니달리 여기서 보니까 이상하다 리코 너 그리고 왔어
68,자이라는 가시가 너무 많아서 니코가 그냥 지나칠 수가 없어,,다 일하는가 시간 너무 많아서 미코가 그냥 지나칠 수가 없어,11.1111,,자이라는 가시가 너무 많아서 네코마 그냥 지나칠 수가 없어
69,넌 바스타야 니코는 우비캣 먼 친척쯤 되려나,,넌 파스타야 리코는 부비캣 먼친척 좀 되려나,83.3333,,넌 바스타야 우리카드 먼친척 좀 데려가
70,다리우스 우리 아빠가 누군진 알지 그럼 내가 뭘 할지도 잘 알겠네,,다리우스 우리 아빠가 누군지 알지 그럼 내가 뭘 할지를 잘 알겠네,9.09091,,다리우스 우리 아빠가 누군지 알지 그럼 내가 뭘 할지도 잘 알겠네
71,아아 네가 에코 구나 그래 멋지네 좋아,,아 네가 이쿠나 그래 멋지네 좋아,42.8571,,아 네가 에쿤 아 그래 멋지네 좋아
72,어이 르블랑 가서 엄마한테 각오하라고 전해,,어이 루블랑 가서 엄마한테 가고 하라고 전해,28.5714,,어이 르블랑 가서 엄마한테 가고 하라고 전해
73,네가 모데카이저지 금속 천지구나 내가 처리해주지,,네가 모데카이저지 금속 천재구나 내가 처리해주지,50,,미라 모데카이저지 금석천 지훈아 내가 처리해주지
74,세라핀 꽤 귀엽구나 아 그럼 안녕,,세라핀 꽤 귀엽구나 그럼 안녕,40,,세라핀 왜 귀엽구나 그럼 안녕
75,녹서스는 무너질 거야 스웨인 너부터 시작하지,,녹스는 무너질 거야 스웨이 너부터 시작하지,16.6667,,녹서스는 무너질 거야 트웨인 너부터 시작하지
76,테이밍은 아크 서바이벌의 핵심이자 가장 중요한 요소이다,,타이밍은 아크서바이벌 핵심이자 가장 중요한 요소이다,42.8571,,게임 이건 아크서바이벌 핵심이자 가장 중요한 요소이다
77,캐릭터의 능력치는 도도나 리스트로사우루스같은 생물을 제외하면 기본 상태로는 상당히 약하다,,캐릭터의 능력치는 도도나 리스트로사우루스 같은 생물을 제외하면 기본상태로는 상당히 약하다,40,,캐릭터의 능력치는 도도나 리스트로사우루스 같은 생물을 제외하면 기본상태로는 상당히 약하다
78,레벨을 기본 만렙 수준으로 올리고 발전된 테크의 고등급 샷건 같은 것을 착용하기 시작하자,,레벨을 기본 만렙 수준으로 올리고 발전된 특유의 고등급 사건 같은 것을 체험하게 시작하자,61.5385,,레벨을 기본 발데즈 들어올리고 발전된 체크해 고등부 10번 같은 것을 찾고 타기 시작하자
79,이 게임에 있어서 공룡은 게임의 알파이자 오메가라고 할 수 있다,,이 게임의 있어서 공룡은 게임에 알파이자 오메가라고 할 수 있다,33.3333,,느낌이 있어서 공룡은 게임에 알파이자 오메가라고 할 수 있다
80,마비 도구를 이용한 기절 조련과 해당 생물이 요구하는 것을 먹여서 하는 평화 조련이 있다,,나비 도구를 이용한 기절 도령과 해당 생물이 요구 하는 것을 먹어서 하는 평화 주려니 있다,33.3333,,나비 도구를 이용한 기절 저런가 해당 생물이 요구 하는 것을 먹여서 하는 평화 조용히 있다
81,버그성 조련에는 아르젠타비스와 마나가르마가 대표적이다,,버블송 도려내는 아르젠타비스 와 마나가르마가 대표적이다,66.6667,,버그 성질을내는 아르젠타비스 와 마나가르마가 대표적이다
82,아르젠타비스의 경우 시체 섭취를 하면 생기는 버프를 이용해 음식 수치를 영으로 만들어 만렙의 아르젠타비스를 조련한다,,아르젠타비스의 경우 2차 섭취를 하면 생기는 버프를 중에 음식 수치를 영어로 만들어 만렙에 아르젠타비스를 조련하다,50,,아르젠타비스의 경우 시차 17일 하면 생기는 버프를 이용해 음식수치를 영어로 만들어 만렙에 아르젠타비스를 주련다
83,마나가르마의 경우 이동 시 음식과 기력을 상당히 갉아먹기에 기절 순간에도 음식 수치가 상당히 깎여있어 조련이 빨리 된다,,마나가르마의 경우 이동시 음식과 기력을 상당히 갉아먹기에 기절 순간에도 음식 수치가 상당히 꽉 껴 있어 조련이 빨리 된다,35.2941,,마나가르마의 경우 이동식 음식과 기력을 상당히 갉아먹기에 기절이 순간에도 음식 수치가 상당의 깎고 있어 조련이 빨리 된다
84,기절수치가 떨어지지 않게 나코베리나 마취약 스팀베리 등으로 기절 수치와 허기 수치를 조절한다,,기 설치가 떨어지지 않게 나코베리 나 마취약 침대를 등으로 기절수치 와 거기 수치를 조절한다,91.6667,,"기절 쉽지가 떨어지지 않게 나코베리 나 마취한 스팀대리 등으로 기절수치 와 헉, 27일 조절한다"
85,기절 조련 중 특이한 케이스가 있다면 티타노사우루스와 바위 정령 카르키노스 에버레이션 그리고 아스트로시터스가 있다,,기절 조련중 특이한 케이스가 있다면 티타노사우루스 와 바위정령 카르키노스 에버레이션 그리고 아스트로시티 수가 있다,183.333,,"기절 조련중 특이한 케이스가 있다면 티타노사우루스, 키오스 에버레이션 그리고 아스트로 싶었으나 있다"
86,문제는 선공형 생물 기간토피테쿠스처럼 너무 가까이 다가갔을 때 공격적으로 변하는 생물이 있다,,문제는 성공 정색물 기간토피테쿠스처럼 너무 가까이 다가갔을때 공격적으로 변하는 생물이 있다,36.3636,,문제는 성공영 생물 기간토피테쿠스처럼 너무 가까이 다가갔을때 공격적으로 변하는 생물 있다
87,바실리스크와 티타노보아의 경우 바닥에 떨군 수정란을 먹는 방식으로 조련하자,,바실리스크 와 티타노보아의 경우 바닥에 떨군 수정란을 먹는 방식으로 결혼하자,45.4545,,바실리스크 와 티타노보아의 경우 바닥에 떨구는 수정란을 먹는 방식으로 저런 하자
88,에쿠스는 당근이나 열매 간단한 키블을 먹여 올라탈 수 있다,,에쿠스는 당근이나 열매 간단한 퀴즈를 먹여 올라 탈 수 있다,40,,에쿠스는 정글이나 열매 간단한 퀴즈를 먹여 올라 탈 수 있다
89,가챠는 바실리스크와 티타노보아와 비슷하게 플레이어가 떨군 아이템을 먹으나 아무 종류나 다 먹는다,,하찮은 바실리스크 티타노보아 와 비슷하게 플레이어가 떨군 아이템을 먹으나 아무 종료하다 먹는다,45.4545,,하찮은 바실리스크 티타노보아 비슷하게 플레이어가 떨군 아이템을 먹으나 아무 종료하다 먹는다
90,눈올빼미 펠렛을 선호하는 편이다,,눈올빼미 펠렛을 선호하는 편이다,25,,눈올빼미 플랫을 선호하는 편이다
91,리오플레우로돈은 플레이어가 떨군 꿀을 먹는다,,리오플레우로돈은 플레이어가 떨군 꿀을 먹는다,0,,리오플레우로돈은 플레이어가 떨군 꿀을 먹는다
92,페고매스탁스는 영번 단축바에 있는 것을 가장 먼저 채간다,,105 맥박수는 0번 단축바이 있는 것을 가장 먼저 채간다,44.4444,,최고 맥박수는 0번 단축바이 있는 것을 가장 먼저 채간다
93,트로오돈은 조련된 생물을 잡게 하면 조련이 된다,,트로오돈은 조련된 생물을 찾기 하면 출혈이 된다,100,,트로오돈은 저런대 생물을 짧게하면 처리된다
94,이스페로니스와 수달은 물고기를 죽여 그 시체를 끌고와 먹이면 조련이 됩니다,,이스페로니스 와 수 다른 물고기를 죽여 글씨체를 끌고 와 먹이면 조련이 됩니다,61.5385,,미스 페러 니스와 수 다른 물고기를 죽여 글씨체를 끌고 와 먹이면 조련이 됩니다
95,트로페오그나투스는 일반 조련과 같으나 발리스타에 체인 볼라를 설치하고 발사해 묶어야만 먹이를 먹일 수 있다,,트로페오그나투스는 일반 저런 거 같은 아 발리스파의 체인풀러를 설치하고 발사에 묶어야 만보기를 먹일 수 있다,62.5,,트로페오그나투스는 일반 조롱과 같은 앞 알리스타에 체인볼라를 설치하고 발사해 볼 거야 만 먹이를 먹을 수 있다.
96,에버레이션 엔그램 중 통발이라는 아이템을 설치하고 근처의 생선을 포획하고 풀어주는 식으로 조련한다,,에버레이션 n g 중 통발이라는 아이템을 설치하고 근처에 생선을 포획하고 풀어 주는 식으로 출연한다,50,,에버레이션 n g 중 동바리를 아이템을 설치하고 근처에 생선을 포획하고 풀어 주는 식으로 출연한다
97,데이노니쿠스 와이번 락 드레이크 마그마사우루스와 리퍼가 이에 해당된다,,데이노니쿠스 와이번 락드레이크 마그마사우루스 리포 라이 해당된다,75,,데이노니쿠스 와이번 락드레이크 마그마사우루스 리퍼가 이해 안 된다
98,포레스트 와이번 카르노타우루스도 육성할 수 있다.,,포레스트 와이번 카르노타우루스도 육성할 수 있다,57.1429,,포레스트 와이번 카르노타우루스 도익서 갈 수 있다
99,기간토피테쿠스의 경우 뒤쪽으로 다가가면 부딪힐 정도로 붙지 않는 이상 공격하지 않는다,,기간토피테쿠스의 경우 뒤쪽으로 다가가면 부딪칠 정도로지 않는 이상 생각하지 않는다,18.1818,,기간토피테쿠스의 경우 뒤쪽으로 다가가면 부딪칠 정도로 붙지 않는 이상은 공격하지 않는다
100,와이번과 데이노니쿠스의 경우 주변 생물의 알이 스폰되는 식이다,,와이번가 데이노니쿠스의 경우 주변 생물의 아리 스폰되는 시기다,50,,와이번과 데이노니쿠스 제기하고 주변 생물의 아리 스폰되는 시기다
,,,평균,53.3749281,,
